timestamp,solar_wind_speed,solar_wind_density,bz_component,sunspot_number,month,season,hour_interval,is_solar_maximum,kp_previous_interval,bz_negative,kp_index,ap_index,aurora_visible
2019-01-01 00:00:00,456.0,3.9,0.8,12,1,hiver,00h-03h,0,,0.0,1.0,6.0,0
2019-01-01 03:00:00,453.0,4.5,1.9,12,1,hiver,03h-06h,0,1.0,0.0,1.0,6.0,0
2019-01-01 06:00:00,433.0,4.3,-3.4,12,1,hiver,06h-09h,0,1.0,1.0,3.0,6.0,0
2019-01-01 09:00:00,430.0,4.7,-2.8,12,1,hiver,09h-12h,0,3.0,1.0,2.0,6.0,0
2019-01-01 12:00:00,418.0,3.8,-1.3,12,1,hiver,12h-15h,0,2.0,1.0,2.0,6.0,0
2019-01-01 15:00:00,395.0,2.8,1.2,12,1,hiver,15h-18h,0,2.0,0.0,1.0,6.0,0
2019-01-01 18:00:00,384.0,2.3,0.7,12,1,hiver,18h-21h,0,1.0,0.0,0.0,6.0,0
2019-01-01 21:00:00,379.0,2.0,-0.1,12,1,hiver,21h-24h,0,0.0,1.0,1.0,6.0,0
2019-01-02 00:00:00,377.0,2.2,-0.7,15,1,hiver,00h-03h,0,1.0,1.0,0.0,2.0,0
2019-01-02 03:00:00,369.0,2.1,-0.2,15,1,hiver,03h-06h,0,0.0,1.0,0.0,2.0,0
2019-01-02 06:00:00,365.0,1.9,0.8,15,1,hiver,06h-09h,0,0.0,0.0,0.0,2.0,0
2019-01-02 09:00:00,352.0,1.6,-0.8,15,1,hiver,09h-12h,0,0.0,1.0,0.0,2.0,0
2019-01-02 12:00:00,338.0,2.2,-0.9,15,1,hiver,12h-15h,0,0.0,1.0,0.0,2.0,0
2019-01-02 15:00:00,343.0,3.7,0.3,15,1,hiver,15h-18h,0,0.0,0.0,1.0,2.0,0
2019-01-02 18:00:00,343.0,4.2,-0.6,15,1,hiver,18h-21h,0,1.0,1.0,0.0,2.0,0
2019-01-02 21:00:00,349.0,4.9,-0.6,15,1,hiver,21h-24h,0,0.0,1.0,1.0,2.0,0
2019-01-03 00:00:00,336.0,4.8,-1.4,15,1,hiver,00h-03h,0,1.0,1.0,1.0,2.0,0
2019-01-03 03:00:00,313.0,4.1,-1.2,15,1,hiver,03h-06h,0,1.0,1.0,0.0,2.0,0
2019-01-03 06:00:00,307.0,4.0,-1.0,15,1,hiver,06h-09h,0,0.0,1.0,0.0,2.0,0
2019-01-03 09:00:00,304.0,3.8,-0.9,15,1,hiver,09h-12h,0,0.0,1.0,1.0,2.0,0
2019-01-03 12:00:00,308.0,5.7,-2.3,15,1,hiver,12h-15h,0,1.0,1.0,1.0,2.0,0
