timestamp,kp_index,ap_index,dst_index,month,season,hour_interval,solar_wind_speed,solar_wind_density,solar_wind_pressure,bz_component,is_solar_maximum,kp_previous_interval,bz_negative,aurora_visible
2019-01-01 00:30:00,10,4,-8,1,hiver,00h-03h,456.0,3.9,1.46,1.7,0,,0.0,1
2019-01-01 01:30:00,10,4,-11,1,hiver,00h-03h,460.0,3.9,1.48,-1.0,0,10.0,1.0,1
2019-01-01 02:30:00,10,4,-9,1,hiver,00h-03h,459.0,4.0,1.52,1.9,0,10.0,0.0,1
2019-01-01 03:30:00,13,5,-7,1,hiver,03h-06h,453.0,4.5,1.65,2.5,0,10.0,0.0,1
2019-01-01 04:30:00,13,5,-4,1,hiver,03h-06h,446.0,5.2,1.84,-0.1,0,13.0,1.0,1
2019-01-01 05:30:00,13,5,-9,1,hiver,03h-06h,438.0,4.6,1.57,-3.4,0,13.0,1.0,1
2019-01-01 06:30:00,27,12,-12,1,hiver,06h-09h,433.0,4.3,1.44,-3.4,0,13.0,1.0,1
2019-01-01 07:30:00,27,12,-17,1,hiver,06h-09h,430.0,4.3,1.42,-3.2,0,27.0,1.0,1
2019-01-01 08:30:00,27,12,-22,1,hiver,06h-09h,423.0,4.7,1.49,-3.5,0,27.0,1.0,1
2019-01-01 09:30:00,17,6,-22,1,hiver,09h-12h,430.0,4.7,1.53,-3.0,0,27.0,1.0,1
2019-01-01 10:30:00,17,6,-20,1,hiver,09h-12h,427.0,4.4,1.43,-1.0,0,17.0,1.0,1
2019-01-01 11:30:00,17,6,-14,1,hiver,09h-12h,424.0,4.2,1.37,-1.4,0,17.0,1.0,1
2019-01-01 12:30:00,20,7,-15,1,hiver,12h-15h,418.0,3.8,1.21,-1.4,0,17.0,1.0,1
2019-01-01 13:30:00,20,7,-16,1,hiver,12h-15h,404.0,3.1,0.92,0.2,0,20.0,0.0,1
2019-01-01 14:30:00,20,7,-13,1,hiver,12h-15h,402.0,2.4,0.69,1.5,0,20.0,0.0,1
2019-01-01 15:30:00,3,2,-12,1,hiver,15h-18h,395.0,2.8,0.77,1.2,0,20.0,0.0,0
2019-01-01 16:30:00,3,2,-10,1,hiver,15h-18h,392.0,2.8,0.76,0.8,0,3.0,0.0,0
2019-01-01 17:30:00,3,2,-7,1,hiver,15h-18h,385.0,2.6,0.69,1.1,0,3.0,0.0,0
2019-01-01 18:30:00,0,0,-7,1,hiver,18h-21h,384.0,2.3,0.6,0.8,0,3.0,0.0,0
2019-01-01 19:30:00,0,0,-11,1,hiver,18h-21h,386.0,2.0,0.53,0.5,0,0.0,0.0,0
2019-01-01 20:30:00,0,0,-12,1,hiver,18h-21h,380.0,1.8,0.47,-0.4,0,0.0,1.0,0
2019-01-01 21:30:00,7,3,-12,1,hiver,21h-24h,379.0,2.0,0.52,-0.2,0,0.0,1.0,1
2019-01-01 22:30:00,7,3,-12,1,hiver,21h-24h,385.0,2.0,0.53,-0.9,0,7.0,1.0,1
2019-01-01 23:30:00,7,3,-14,1,hiver,21h-24h,377.0,2.3,0.58,-0.6,0,7.0,1.0,1
2019-01-02 00:30:00,0,0,-15,1,hiver,00h-03h,377.0,2.2,0.55,-1.0,0,7.0,1.0,0
2019-01-02 01:30:00,0,0,-15,1,hiver,00h-03h,375.0,2.0,0.5,-0.8,0,0.0,1.0,0
2019-01-02 02:30:00,0,0,-13,1,hiver,00h-03h,370.0,2.0,0.49,-0.1,0,0.0,1.0,0
2019-01-02 03:30:00,0,0,-12,1,hiver,03h-06h,369.0,2.1,0.51,0.0,0,0.0,0.0,0
2019-01-02 04:30:00,0,0,-11,1,hiver,03h-06h,366.0,2.2,0.54,0.6,0,0.0,0.0,0
2019-01-02 05:30:00,0,0,-9,1,hiver,03h-06h,364.0,2.2,0.54,0.4,0,0.0,0.0,0
2019-01-02 06:30:00,0,0,-8,1,hiver,06h-09h,365.0,1.9,0.47,0.8,0,0.0,0.0,0
2019-01-02 07:30:00,0,0,-6,1,hiver,06h-09h,360.0,1.7,0.4,0.4,0,0.0,0.0,0
2019-01-02 08:30:00,0,0,-6,1,hiver,06h-09h,355.0,1.7,0.39,-0.2,0,0.0,1.0,0
2019-01-02 09:30:00,0,0,-5,1,hiver,09h-12h,352.0,1.6,0.37,-0.8,0,0.0,1.0,0
2019-01-02 10:30:00,0,0,-5,1,hiver,09h-12h,353.0,1.8,0.41,-1.1,0,0.0,1.0,0
2019-01-02 11:30:00,0,0,-7,1,hiver,09h-12h,346.0,1.9,0.41,-1.1,0,0.0,1.0,0
2019-01-02 12:30:00,3,2,-10,1,hiver,12h-15h,338.0,2.2,0.46,-0.9,0,0.0,1.0,0
2019-01-02 13:30:00,3,2,-14,1,hiver,12h-15h,337.0,2.0,0.41,-1.0,0,3.0,1.0,0
2019-01-02 14:30:00,3,2,-14,1,hiver,12h-15h,336.0,2.2,0.45,-0.7,0,3.0,1.0,0
2019-01-02 15:30:00,3,2,-12,1,hiver,15h-18h,343.0,3.7,0.77,0.3,0,3.0,0.0,0
2019-01-02 16:30:00,3,2,-9,1,hiver,15h-18h,343.0,4.1,0.85,-0.5,0,3.0,1.0,0
2019-01-02 17:30:00,3,2,-7,1,hiver,15h-18h,343.0,3.9,0.81,-0.9,0,3.0,1.0,0
2019-01-02 18:30:00,0,0,-6,1,hiver,18h-21h,343.0,4.2,0.87,-0.4,0,3.0,1.0,0
2019-01-02 19:30:00,0,0,-4,1,hiver,18h-21h,353.0,4.5,0.98,0.4,0,0.0,0.0,0
2019-01-02 20:30:00,0,0,-5,1,hiver,18h-21h,354.0,4.8,1.05,0.2,0,0.0,0.0,0
2019-01-02 21:30:00,0,0,-4,1,hiver,21h-24h,349.0,4.9,1.04,-0.2,0,0.0,1.0,0
2019-01-02 22:30:00,0,0,-5,1,hiver,21h-24h,335.0,4.7,0.93,-1.2,0,0.0,1.0,0
2019-01-02 23:30:00,0,0,-7,1,hiver,21h-24h,334.0,4.9,0.96,-1.0,0,0.0,1.0,0
2019-01-03 00:30:00,10,4,-8,1,hiver,00h-03h,336.0,4.8,0.94,-1.0,0,0.0,1.0,1
2019-01-03 01:30:00,10,4,-9,1,hiver,00h-03h,337.0,4.7,0.93,-1.0,0,10.0,1.0,1
2019-01-03 02:30:00,10,4,-10,1,hiver,00h-03h,328.0,4.4,0.83,-0.8,0,10.0,1.0,1
2019-01-03 03:30:00,0,0,-12,1,hiver,03h-06h,313.0,4.1,0.69,-1.1,0,10.0,1.0,0
2019-01-03 04:30:00,0,0,-13,1,hiver,03h-06h,310.0,4.1,0.68,-1.3,0,0.0,1.0,0
2019-01-03 05:30:00,0,0,-13,1,hiver,03h-06h,308.0,4.0,0.66,-0.9,0,0.0,1.0,0
