Model,Balancing_Strategy,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Precision_Mean,ROC_AUC_Mean
Random_Forest,Undersampling,0.9171232553382321,0.007843602352787934,0.5256925194518781,0.004150991597142432,0.36847561028914855,0.9549182148948848
XGBoost,Undersampling,0.9012619785683939,0.014035928341156132,0.5236839697873598,0.011780324397166071,0.3691510267877951,0.9492618619255285
Decision_Tree,Undersampling,0.8251844974902047,0.018941099656401634,0.44606273315948697,0.023233466731129176,0.3057909217379069,0.8262412954726932
XGBoost,No_Resampling_ClassWeight,0.7996097622382025,0.009494707622292386,0.6629379897886265,0.01196227961834009,0.566279700404127,0.9615801948931733
Logistic_Regression,SMOTE,0.7798581716521638,0.011962885086382517,0.3936662159932437,0.004101615745214978,0.2633238577644496,0.86785560935717
Logistic_Regression,No_Resampling_ClassWeight,0.7795334980304531,0.015605096552847983,0.39238360824837915,0.003338064418023216,0.26222026926282405,0.8685159385666303
Logistic_Regression,Undersampling,0.7792109224612254,0.012991347024432807,0.39087124635910814,0.004570104402886285,0.26091532721642735,0.867990855097448
Random_Forest,SMOTE,0.7293627690096669,0.014656518156673556,0.7517828862027122,0.0159589994697839,0.7756708246365293,0.9740008593362408
Decision_Tree,SMOTE,0.6778891493970722,0.020545488086063476,0.6098620198203883,0.014392122839894078,0.5544909198872918,0.8139118079203991
XGBoost,SMOTE,0.6089366545504136,0.008517591709605983,0.660622800436548,0.009662399011619707,0.7220909369194415,0.9556952007825557
Decision_Tree,No_Resampling_ClassWeight,0.579156373096673,0.015432683903502081,0.6033819933033302,0.015458350728094209,0.6298109310120596,0.7739401455694923
Random_Forest,No_Resampling_ClassWeight,0.4548399448212197,0.01634489932767404,0.61154710570336,0.017487734894205614,0.9333538131352501,0.9731546228961522
