timestamp,solar_wind_speed,solar_wind_density,bz_component,sunspot_number
2019-01-01 00:00:00,456,3.9,0.8,12
2019-01-01 01:00:00,460,3.9,-1.8,12
2019-01-01 02:00:00,459,4.0,1.2,12
2019-01-01 03:00:00,453,4.5,1.9,12
2019-01-01 04:00:00,446,5.2,-0.6,12
2019-01-01 05:00:00,438,4.6,-3.6,12
2019-01-01 06:00:00,433,4.3,-3.4,12
2019-01-01 07:00:00,430,4.3,-3.1,12
2019-01-01 08:00:00,423,4.7,-3.3,12
2019-01-01 09:00:00,430,4.7,-2.8,12
2019-01-01 10:00:00,427,4.4,-0.6,12
2019-01-01 11:00:00,424,4.2,-1.3,12
2019-01-01 12:00:00,418,3.8,-1.3,12
2019-01-01 13:00:00,404,3.1,0.3,12
2019-01-01 14:00:00,402,2.4,1.5,12
2019-01-01 15:00:00,395,2.8,1.2,12
2019-01-01 16:00:00,392,2.8,0.7,12
2019-01-01 17:00:00,385,2.6,1.0,12
2019-01-01 18:00:00,384,2.3,0.7,12
2019-01-01 19:00:00,386,2.0,0.6,12
2019-01-01 20:00:00,380,1.8,-0.3,12
2019-01-01 21:00:00,379,2.0,-0.1,12
2019-01-01 22:00:00,385,2.0,-0.5,12
2019-01-01 23:00:00,377,2.3,-0.5,12
2019-01-02 00:00:00,377,2.2,-0.7,15
2019-01-02 01:00:00,375,2.0,-0.6,15
2019-01-02 02:00:00,370,2.0,-0.2,15
2019-01-02 03:00:00,369,2.1,-0.2,15
2019-01-02 04:00:00,366,2.2,0.5,15
2019-01-02 05:00:00,364,2.2,0.4,15
2019-01-02 06:00:00,365,1.9,0.8,15
2019-01-02 07:00:00,360,1.7,0.4,15
2019-01-02 08:00:00,355,1.7,-0.2,15
2019-01-02 09:00:00,352,1.6,-0.8,15
2019-01-02 10:00:00,353,1.8,-1.2,15
2019-01-02 11:00:00,346,1.9,-1.0,15
2019-01-02 12:00:00,338,2.2,-0.9,15
2019-01-02 13:00:00,337,2.0,-1.0,15
2019-01-02 14:00:00,336,2.2,-0.7,15
2019-01-02 15:00:00,343,3.7,0.3,15
2019-01-02 16:00:00,343,4.1,-0.7,15
2019-01-02 17:00:00,343,3.9,-1.1,15
2019-01-02 18:00:00,343,4.2,-0.6,15
