timestamp,solar_wind_speed,solar_wind_density,bz_component,month,season,hour_interval,bz_negative,is_solar_maximum,is_storm
2019-01-01 06:00:00,59.0,34.0,0.8,1,hiver,6h-9h,0.0,0,0
2019-01-01 07:00:00,60.0,37.0,-1.8,1,hiver,6h-9h,1.0,0,0
2019-01-01 08:00:00,58.0,35.0,1.2,1,hiver,6h-9h,0.0,0,0
2019-01-01 09:00:00,59.0,36.0,1.9,1,hiver,9h-12h,0.0,0,0
2019-01-01 10:00:00,59.0,33.0,-0.6,1,hiver,9h-12h,1.0,0,0
2019-01-01 11:00:00,59.0,36.0,-3.6,1,hiver,9h-12h,1.0,0,0
2019-01-01 12:00:00,61.0,37.0,-3.4,1,hiver,12h-15h,1.0,0,0
2019-01-01 13:00:00,57.0,35.0,-3.1,1,hiver,12h-15h,1.0,0,0
2019-01-01 14:00:00,61.0,37.0,-3.3,1,hiver,12h-15h,1.0,0,0
2019-01-01 15:00:00,60.0,36.0,-2.8,1,hiver,15h-18h,1.0,0,0
2019-01-01 16:00:00,60.0,36.0,-0.6,1,hiver,15h-18h,1.0,0,0
2019-01-01 17:00:00,58.0,35.0,-1.3,1,hiver,15h-18h,1.0,0,0
2019-01-01 18:00:00,60.0,36.0,-1.3,1,hiver,18h-21h,1.0,0,0
2019-01-01 19:00:00,59.0,34.0,0.3,1,hiver,18h-21h,0.0,0,0
2019-01-01 20:00:00,59.0,36.0,1.5,1,hiver,18h-21h,0.0,0,0
2019-01-01 21:00:00,59.0,34.0,1.2,1,hiver,21h-24h,0.0,0,0
2019-01-01 22:00:00,60.0,36.0,0.7,1,hiver,21h-24h,0.0,0,0
2019-01-01 23:00:00,59.0,36.0,1.0,1,hiver,21h-24h,0.0,0,0
2019-01-02 00:00:00,60.0,36.0,0.7,1,hiver,0h-3h,0.0,0,0
2019-01-02 01:00:00,60.0,35.0,0.6,1,hiver,0h-3h,0.0,0,0
2019-01-02 02:00:00,60.0,36.0,-0.3,1,hiver,0h-3h,1.0,0,0
2019-01-02 03:00:00,61.0,37.0,-0.1,1,hiver,3h-6h,1.0,0,0
2019-01-02 04:00:00,60.0,33.0,-0.5,1,hiver,3h-6h,1.0,0,0
2019-01-02 05:00:00,58.0,35.0,-0.5,1,hiver,3h-6h,1.0,0,0
2019-01-02 06:00:00,61.0,36.0,-0.7,1,hiver,6h-9h,1.0,0,0
2019-01-02 07:00:00,59.0,35.0,-0.6,1,hiver,6h-9h,1.0,0,0
2019-01-02 08:00:00,59.0,35.0,-0.2,1,hiver,6h-9h,1.0,0,0
2019-01-02 09:00:00,60.0,36.0,-0.2,1,hiver,9h-12h,1.0,0,0
2019-01-02 10:00:00,59.0,35.0,0.5,1,hiver,9h-12h,0.0,0,0
2019-01-02 11:00:00,59.0,37.0,0.4,1,hiver,9h-12h,0.0,0,0
2019-01-02 12:00:00,60.0,26.0,0.8,1,hiver,12h-15h,0.0,0,0
2019-01-02 13:00:00,60.0,33.0,0.4,1,hiver,12h-15h,0.0,0,0
2019-01-02 14:00:00,59.0,34.0,-0.2,1,hiver,12h-15h,1.0,0,0
2019-01-02 15:00:00,60.0,34.0,-0.8,1,hiver,15h-18h,1.0,0,0
2019-01-02 16:00:00,59.0,32.0,-1.2,1,hiver,15h-18h,1.0,0,0
2019-01-02 17:00:00,58.0,36.0,-1.0,1,hiver,15h-18h,1.0,0,0
2019-01-02 18:00:00,60.0,35.0,-0.9,1,hiver,18h-21h,1.0,0,0
2019-01-02 19:00:00,59.0,35.0,-1.0,1,hiver,18h-21h,1.0,0,0
2019-01-02 20:00:00,59.0,32.0,-0.7,1,hiver,18h-21h,1.0,0,0
2019-01-02 21:00:00,62.0,37.0,0.3,1,hiver,21h-24h,0.0,0,0
2019-01-02 22:00:00,58.0,35.0,-0.7,1,hiver,21h-24h,1.0,0,0
2019-01-02 23:00:00,62.0,38.0,-1.1,1,hiver,21h-24h,1.0,0,0
2019-01-03 00:00:00,62.0,37.0,-0.6,1,hiver,0h-3h,1.0,0,0
2019-01-03 01:00:00,60.0,36.0,0.2,1,hiver,0h-3h,0.0,0,0
2019-01-03 02:00:00,60.0,37.0,0.1,1,hiver,0h-3h,0.0,0,0
2019-01-03 03:00:00,57.0,34.0,-0.6,1,hiver,3h-6h,1.0,0,0
